74,1
35,1
59,1
82,1
57,1
284,0
67,1
71,1
156,0
48,1
253,0
168,0
57,1
34,1
59,1
167,0
248,0
73,1
66,1
87,1
111,1
193,0
182,0
276,0
268,0
197,0
79,1
71,1
51,1
296,0
74,1
205,0
58,1
264,0
84,1
85,1
179,0
74,1
282,0
79,1
63,1
79,1
64,1
136,1
59,1
58,1
295,0
50,1
62,1
88,1
267,0
52,1
143,1
50,1
68,1
272,0
100,1
91,1
70,1
83,1
289,0
71,1
159,0
80,1
59,1
256,0
168,0
50,1
65,1
283,0
71,1
60,1
296,0
93,1
74,1
268,0
60,1
85,1
102,1
97,1
53,1
251,0
61,1
202,0
207,0
201,0
202,0
75,1
53,1
195,0
82,1
66,1
68,1
287,0
77,1
73,1
189,0
60,1
47,1
231,0
60,1
67,1
76,1
60,1
198,0
78,1
96,1
92,1
91,1
58,1
165,0
53,1
45,1
132,1
137,1
174,0
119,1
46,1
58,1
78,1
72,1
273,0
53,1
259,0
105,1
101,1
79,1
256,0
50,1
57,1
231,0
67,1
70,1
72,1
198,0
71,1
85,1
249,0
76,1
84,1
79,1
84,1
267,0
66,1
70,1
74,1
79,1
66,1
265,0
83,1
105,1
167,0
67,1
75,1
79,1
250,0
63,1
54,1
